,Title,Author,Link,Price,Rating,Rating Count
20,How to Win Friends and Influence People (Deluxe Hardbound Edition),Dale Carnegie,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A1037774356MYFPVFWUC8&url=%2FFriends-Influence-People-Deluxe-Hardbound%2Fdp%2F9354403778%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DBooks%26qid%3D1649735602%26sr%3D8-21-spons%26psc%3D1%26smid%3DA3H3WE9M6NY1KV&qualifier=1649735602&id=4769108161711551&widgetName=sp_btf,329,4.5 out of 5 stars,"64,252"
21,The Richest Man in Babylon (Deluxe Hardbound Edition),George S. Clason,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A02007071J471UGQ45CHD&url=%2FRichest-Man-Babylon-Deluxe-Hardbound%2Fdp%2F9354402828%2Fref%3Dsr_1_22_sspa%3Fkeywords%3DBooks%26qid%3D1649735602%26sr%3D8-22-spons%26psc%3D1&qualifier=1649735602&id=4769108161711551&widgetName=sp_btf,269,4.5 out of 5 stars,"26,211"
22,A Passage To India,E. M. Forster,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A09503356S2BMJY7AU0F&url=%2FPassage-India-M-Forster%2Fdp%2F9390183308%2Fref%3Dsr_1_17_sspa%3Fkeywords%3DBooks%26qid%3D1649735607%26sr%3D8-17-spons%26psc%3D1&qualifier=1649735607&id=1659556288866052&widgetName=sp_atf_next,169,4.4 out of 5 stars,"1,306"
23,Five Children and It,E. Nesbit,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A053217411PWC1NYTSN6J&url=%2FFive-Children-Nesbit%2Fdp%2F935440300X%2Fref%3Dsr_1_18_sspa%3Fkeywords%3DBooks%26qid%3D1649735607%26sr%3D8-18-spons%26psc%3D1%26smid%3DA3H3WE9M6NY1KV&qualifier=1649735607&id=1659556288866052&widgetName=sp_atf_next,149,4.4 out of 5 stars,202
24,"Blossom Moral Story Book for Kids 1 Years to 10 Years Old in English | 31 Fairy Tale Stories with Colourful Pictures | Best Bedtime Children Story Book | Short Stories for Infants, Toddlers | Book A",unknown,https://amazon.in/Blossom-English-Colourful-Pictures-Children/dp/B0845PS3QW/ref=sr_1_19?keywords=Books&qid=1649735607&sr=8-19,unkown,unknown,unknown
25,The Illustrated Stories Of Akbar and Birbal: Classic Tales From India,Wonder House Books,https://amazon.in/Illustrated-Stories-Akbar-Birbal-Classic/dp/9389567831/ref=sr_1_20?keywords=Books&qid=1649735607&sr=8-20,159,4.6 out of 5 stars,"1,841"
26,My First Experiences Sticker Book,Wonder House Books,https://amazon.in/My-First-Experiences-Sticker-Book/dp/9388369815/ref=sr_1_21?keywords=Books&qid=1649735607&sr=8-21,129,4.2 out of 5 stars,573
27,My First Animal Sticker Book: Exciting Sticker Book With 100 Stickers,Wonder House Books,https://amazon.in/My-First-Animal-Sticker-Book/dp/9388144945/ref=sr_1_22?keywords=Books&qid=1649735607&sr=8-22,149,4.4 out of 5 stars,849
28,How to Live on 24 Hours a Day (Best Motivational Books for Personal Development (Design Your Life)),Arnold Bennett,https://amazon.in/How-Live-24-Hours-Day-ebook/dp/B06XSFF7DX/ref=sr_1_23?keywords=Books&qid=1649735607&sr=8-23,0,4.1 out of 5 stars,57
29,"Tiger of Drass: Capt. Anuj Nayyar, 23, Kargil Hero",Meena Nayyar,https://amazon.in/Tiger-Drass-Capt-Nayyar-Kargil/dp/9354229263/ref=sr_1_24?keywords=Books&qid=1649735607&sr=8-24,248,4.9 out of 5 stars,48
30,The Richest Man in Babylon,George S. Clason,https://amazon.in/Richest-Man-Babylon-George-Clason/dp/9354990711/ref=sr_1_25?keywords=Books&qid=1649735607&sr=8-25,70,4.5 out of 5 stars,"26,211"
31,"My First Super Boxset of Pencil Control and Patterns : Pack of 4 interactive activity books to practice Patterns, Numbers and Alphabet: A set of 4 ... to practice Patterns, Numbers and Alphabet",Wonder House Books,https://amazon.in/First-Super-Pencil-Control-Patterns/dp/9388144619/ref=sr_1_26?keywords=Books&qid=1649735607&sr=8-26,315,4.5 out of 5 stars,"1,894"
32,The 10X Rule: The Only Difference Between Success and Failure,Grant Cardone,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0229415270GNHL5SMPCH&url=%2F10X-Rule-Difference-Between-Success-ebook%2Fdp%2FB004X75OES%2Fref%3Dsr_1_27_sspa%3Fkeywords%3DBooks%26qid%3D1649735607%26sr%3D8-27-spons%26psc%3D1&qualifier=1649735607&id=1659556288866052&widgetName=sp_mtf,137.75,4.5 out of 5 stars,"6,328"
33,Early Learning Padded Book of Good Habits and Manners : Padded Board Books For Children,unknown,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A06151252ETDDL9Q2XCEJ&url=%2FEarly-Learning-Padded-Habits-Manners%2Fdp%2F9354403441%2Fref%3Dsr_1_28_sspa%3Fkeywords%3DBooks%26qid%3D1649735607%26sr%3D8-28-spons%26psc%3D1&qualifier=1649735607&id=1659556288866052&widgetName=sp_mtf,unkown,unknown,unknown
34,"Little Artist Copy Colouring Boxset: Pack of 8 Books (Birds, Sea Animals, Fruits, Vegetables, Dinosaurs, Cars and People Around Us): Set of 8 books ... Dinosaurs, Cars and People Around Us)",Wonder House Books,https://amazon.in/Little-Artist-Copy-Colouring-Pack/dp/938814404X/ref=sr_1_29?keywords=Books&qid=1649735607&sr=8-29,292,4.5 out of 5 stars,841
35,The Kid Who Came From Space,Ross Welford,https://amazon.in/Untitled-Ross-Welford-5/dp/0008333785/ref=sr_1_30?keywords=Books&qid=1649735607&sr=8-30,286,4.5 out of 5 stars,"1,315"
36,"Majhi Atmakatha माझी आत्मकथा : डॉ. बाबासाहेब आंबेडकर, Mazi Atmakatha, Autobiography of Dr. Babasaheb Ambedkar, Biography Book in Marathi",unknown,https://amazon.in/Majhi-Atmakatha-%E0%A4%AE%E0%A4%BE%E0%A4%9D%E0%A5%80-%E0%A4%86%E0%A4%A4%E0%A5%8D%E0%A4%AE%E0%A4%95%E0%A4%A5%E0%A4%BE-Autobiography/dp/9352203410/ref=sr_1_31?keywords=Books&qid=1649735607&sr=8-31,unkown,unknown,unknown
37,Bhagavad Gita (in English): The Authentic English Translation for Accurate and Unbiased Understanding (The Bhagavad Gita Series Book 2),Hari Chetan,https://amazon.in/Bhagavad-Gita-English-Translation-Understanding-ebook/dp/B09D3YWKG7/ref=sr_1_32?keywords=Books&qid=1649735607&sr=8-32,99,4.7 out of 5 stars,109
38,Sudoku Puzzles - Book 2,unknown,https://amazon.in/Sudoku-Puzzles-Book-Maple-Press/dp/9391924603/ref=sr_1_33?keywords=Books&qid=1649735607&sr=8-33,unkown,unknown,unknown
39,Balasaheb Shinde - Paripurna Marathi Vyakaran - 3750+ Vastunishtha Prashna - 2022 - 15th Ed.,unknown,https://amazon.in/Balasaheb-Shinde-Paripurna-Vyakaran-Vastunishtha/dp/B09QXG4TGS/ref=sr_1_34?keywords=Books&qid=1649735607&sr=8-34,unkown,unknown,unknown
40,My Big Wipe And Clean Book of Three Letter Words for Kids : Learn And Trace Words,Wonder House Books,https://amazon.in/Wipe-Clean-Three-Letter-Words/dp/9354401287/ref=sr_1_35?keywords=Books&qid=1649735607&sr=8-35,299,4.5 out of 5 stars,26
41,The Last Law of Attraction Book You'll Ever Need To Read: The Missing Key To Finally Tapping Into The Universe And Manifesting Your Desires,Andrew Kap,https://amazon.in/Last-Attraction-Book-Youll-Ever-ebook/dp/B081Y9DHJK/ref=sr_1_36?keywords=Books&qid=1649735607&sr=8-36,0,4.6 out of 5 stars,"1,652"
42,Think and Grow Rich (Deluxe Hardbound Edition),Napoleon Hill,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A08011301HGP1FCQCTOOV&url=%2FThink-Grow-Rich-DELUXE-HARDBOUND%2Fdp%2F9389717426%2Fref%3Dsr_1_37_sspa%3Fkeywords%3DBooks%26qid%3D1649735607%26sr%3D8-37-spons%26psc%3D1&qualifier=1649735607&id=1659556288866052&widgetName=sp_btf,292,4.5 out of 5 stars,"64,546"
43,"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A05369281F1LX07TKNZCQ&url=%2FAM-Club-Your-Morning-Elevate%2Fdp%2F9387944891%2Fref%3Dsr_1_38_sspa%3Fkeywords%3DBooks%26qid%3D1649735607%26sr%3D8-38-spons%26psc%3D1&qualifier=1649735607&id=1659556288866052&widgetName=sp_btf,297,4.5 out of 5 stars,"18,516"
44,World’s Greatest Books On Public Speaking (Box Set of 2 Books),Dale Carnegie,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0354849EH19HN9W2HKP&url=%2FWorlds-Greatest-Books-Public-Speaking%2Fdp%2F9354401651%2Fref%3Dsr_1_33_sspa%3Fkeywords%3DBooks%26qid%3D1649735611%26sr%3D8-33-spons%26psc%3D1%26smid%3DA3H3WE9M6NY1KV&qualifier=1649735611&id=8967813546107616&widgetName=sp_atf_next,219,4.4 out of 5 stars,35
45,Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,unknown,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0459143WQ2PBHYQ7G8I&url=%2FMahatma-Gandhi-Autobiography-Story-Experiments%2Fdp%2F8172343116%2Fref%3Dsr_1_34_sspa%3Fkeywords%3DBooks%26qid%3D1649735611%26sr%3D8-34-spons%26psc%3D1&qualifier=1649735611&id=8967813546107616&widgetName=sp_atf_next,unkown,unknown,unknown
46,The Current Affairs Book 500+ MCQ's March 2022 by Dr. Gaurav Garg,unknown,https://amazon.in/Current-Affairs-Book-March-Gaurav/dp/B09XKJ9MN4/ref=sr_1_35?keywords=Books&qid=1649735611&sr=8-35,unkown,unknown,unknown
47,MP SUB ENGINEER CIVIL PREVIOUS YEARS SOLVED PAPERS,unknown,https://amazon.in/ENGINEER-CIVIL-PREVIOUS-SOLVED-PAPERS/dp/B09X6SSF12/ref=sr_1_36?keywords=Books&qid=1649735611&sr=8-36,unkown,unknown,unknown
48,Chandramukhi,unknown,https://amazon.in/Chandramukhi-Vishwas-Patil/dp/8174342907/ref=sr_1_37?keywords=Books&qid=1649735611&sr=8-37,unkown,unknown,unknown
49,"Magic Practice Copybook, (4 BOOK + 10 REFILL) Number Tracing Book for Preschoolers with Pen, Magic Calligraphy Copybook Set Practical Reusable Writing Tool Simple Hand Lettering",unknown,https://amazon.in/Practice-Preschoolers-Calligraphy-Practical-Lettering/dp/B0743DXTVX/ref=sr_1_38?keywords=Books&qid=1649735611&sr=8-38,unkown,unknown,unknown
50,Talati Book 2022 Gujarati | Talati kam mantri book 2022 | talati book 2022 | gram panchayat secretary | Libert talati book 2022,unknown,https://amazon.in/Talati-Gujarati-mantri-panchayat-secretary/dp/B09RQ54KN6/ref=sr_1_39?keywords=Books&qid=1649735611&sr=8-39,unkown,unknown,unknown
51,"Blossom English Vocabulary Books for 5 to 7 Year Old Kids | Vocab Builder Part A | Synonyms and Antonyms, Spellings, Rhyming Words, Vowels, Consonants and much more with Activities | Learn English Speaking and Writing [Paperback] Content Team at Target Publications",unknown,https://amazon.in/Blossom-Vocab-Builder-Vocabulary-activities/dp/B07RL83476/ref=sr_1_40?keywords=Books&qid=1649735611&sr=8-40,unkown,unknown,unknown
52,Positive Affirmations Colouring Books for Adults (Adult Colouring Book),Srishti Agrawal,https://amazon.in/Positive-Affirmations-Colouring-Books-Adults/dp/B09VL7P2JV/ref=sr_1_41?keywords=Books&qid=1649735611&sr=8-41,349,5.0 out of 5 stars,6
53,English Cursive Writing Practice 3 Books 288 Pages 3-8 Year Kids Full Modules Pre-Strokes Small Letters Capital Letters Joining Letters Words Sentences Mastering Handwriting Pencil Control Improvement,unknown,https://amazon.in/PractiZ-All-One-Kindergarten-Learning-2018/dp/B07288C9MC/ref=sr_1_42?keywords=Books&qid=1649735611&smid=A1CEUNMK8C3GJW&sr=8-42,unkown,unknown,unknown
54,"All Time Best Books To Build Self-Confidence, Influence & Wealth (Box Set of 3 Books)",unknown,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A05232463OWVU1H84P4QL&url=%2FBooks-Build-Self-Confidence-Influence-Wealth%2Fdp%2F9354401643%2Fref%3Dsr_1_43_sspa%3Fkeywords%3DBooks%26qid%3D1649735611%26sr%3D8-43-spons%26psc%3D1%26smid%3DA3H3WE9M6NY1KV&qualifier=1649735611&id=8967813546107616&widgetName=sp_mtf,unkown,unknown,unknown
55,Animal Farm,George Orwell,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A06846391BJUOAV4OEPMX&url=%2FAnimal-Farm-George-Orwell%2Fdp%2F8172344392%2Fref%3Dsr_1_44_sspa%3Fkeywords%3DBooks%26qid%3D1649735611%26sr%3D8-44-spons%26psc%3D1&qualifier=1649735611&id=8967813546107616&widgetName=sp_mtf,79,4.6 out of 5 stars,"33,575"
56,World inbox Gram sevak book GPSSB Gramsevak krushi vigyan book Subject related krushi vishyak ane farjo Gramsevak book gujarati 2022,unknown,https://amazon.in/Gramsevak-Subject-related-vishyak-gujarati/dp/B09TQ3PBBZ/ref=sr_1_45?keywords=Books&qid=1649735611&sr=8-45,unkown,unknown,unknown
57,Atomic Habits: The life-changing million copy bestseller,James Clear,https://amazon.in/Atomic-Habits-James-Clear/dp/1847941834/ref=sr_1_46?keywords=Books&qid=1649735611&sr=8-46,512,4.6 out of 5 stars,"37,878"
58,101 Panchatantra Stories for Children: Colourful Illustrated Stories,unknown,https://amazon.in/101-Panchatantra-Stories-Children-Illustrated/dp/935376517X/ref=sr_1_47?keywords=Books&qid=1649735611&sr=8-47,unkown,unknown,unknown
59,Shadow Jumper: A mystery adventure book for children and teens aged 10-14 (A Shadow Jumper Mystery Adventure 1),J M Forster,https://amazon.in/Shadow-Jumper-mystery-adventure-children-ebook/dp/B00M0UJO0U/ref=sr_1_48?keywords=Books&qid=1649735611&sr=8-48,0,4.6 out of 5 stars,"1,800"
60,Wordsearch Challenge book 1: 200 themed wordsearch puzzles (Collins Wordsearches),Collins Puzzles,https://amazon.in/Wordsearch-Challenge-book-wordsearch-puzzles/dp/0008279659/ref=sr_1_49?keywords=Books&qid=1649735611&sr=8-49,236,4.6 out of 5 stars,533
61,GPSSB junior pharmacist book in Gujarati (Compounder Book) varg 3 kumar prakashan,unknown,https://amazon.in/junior-pharmacist-Gujarati-Compounder-prakashan/dp/B09TM1S5K8/ref=sr_1_50?keywords=Books&qid=1649735611&sr=8-50,unkown,unknown,unknown
62,Rich Dad Poor Dad - 20Th Anniversary Edition - Hindi,Robert T. Kiyosaki,https://amazon.in/Rich-Dad-Poor-Robert-Kiyosaki/dp/8186775218/ref=sr_1_51?keywords=Books&qid=1649735611&sr=8-51,206,4.5 out of 5 stars,"10,292"
63,"Avedia Sank Magic Practice Copy book For Kids Magic Book Calligraphy Pen, homeschool supplies, Numbers &English &Drawing &Mathematics Auto Fade Pen& 4Books 8 Riffile 1 Grip 1 Cover (small)",unknown,https://amazon.in/Practice-Calligraphy-homeschool-supplies-Mathematics/dp/B09R1MBTZK/ref=sr_1_52?keywords=Books&qid=1649735611&sr=8-52,unkown,unknown,unknown
64,Go Start Up: Your Best Guide to Unlocking the Values and Culture of Success,unknown,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A01609751IA6YYLY4Z7AA&url=%2FGo-Start-Up-Unlocking-Culture%2Fdp%2F9354403557%2Fref%3Dsr_1_53_sspa%3Fkeywords%3DBooks%26qid%3D1649735611%26sr%3D8-53-spons%26psc%3D1&qualifier=1649735611&id=8967813546107616&widgetName=sp_btf,unkown,unknown,unknown
65,Nationalism,Rabindranath Tagore,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A085579313B7831I2P4ZD&url=%2FNationalism-Rabindranath-Tagore%2Fdp%2F8175993103%2Fref%3Dsr_1_54_sspa%3Fkeywords%3DBooks%26qid%3D1649735611%26sr%3D8-54-spons%26psc%3D1&qualifier=1649735611&id=8967813546107616&widgetName=sp_btf,79,4.5 out of 5 stars,"5,473"
66,"My Life in Full: Work, Family, and Our Future (With a special Epilogue for India)",unknown,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A07107872W0RO19LX0ZYO&url=%2FMy-Life-Full-special-Epilogue%2Fdp%2F9389253810%2Fref%3Dsr_1_49_sspa%3Fkeywords%3DBooks%26qid%3D1649735617%26sr%3D8-49-spons%26psc%3D1&qualifier=1649735617&id=5235908412582240&widgetName=sp_atf_next,unkown,unknown,unknown
67,The Complete Novels of Sherlock Holmes,unknown,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A05667102EI5R5NMFQC9Z&url=%2FComplete-Novels-Sherlock-Holmes%2Fdp%2F9387585182%2Fref%3Dsr_1_50_sspa%3Fkeywords%3DBooks%26qid%3D1649735617%26sr%3D8-50-spons%26psc%3D1%26smid%3DAPLYOO3IHSCW0&qualifier=1649735617&id=5235908412582240&widgetName=sp_atf_next,unkown,unknown,unknown
68,Better Than Best Friends,unknown,https://amazon.in/Better-Than-Friends-Ahona-Sadhu/dp/1648059503/ref=sr_1_51?keywords=Books&qid=1649735617&sr=8-51,unkown,unknown,unknown
69,The Psychology Book: Big Ideas Simply Explained,DK,https://amazon.in/Psychology-Book-Big-Ideas/dp/1405391243/ref=sr_1_52?keywords=Books&qid=1649735617&sr=8-52,861,4.5 out of 5 stars,"2,910"
70,"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10)",Wonder House Books,https://amazon.in/Writing-Fun-Set-Books-Practice/dp/9387779777/ref=sr_1_53?keywords=Books&qid=1649735617&sr=8-53,159,4.3 out of 5 stars,"8,494"
71,Big Picture Board Book ABC | Can Be Wiped Clean,unknown,https://amazon.in/Picture-Board-Book-Wiped-Clean/dp/B0999QMB8D/ref=sr_1_54?keywords=Books&qid=1649735617&sr=8-54,unkown,unknown,unknown
72,Oswaal CBSE Term 2 English Language & Literature Class 10 Sample Question Paper Book (For Term-2 2022 Exam),Oswaal Editorial Board,https://amazon.in/Oswaal-English-Language-Literature-Question/dp/9354638937/ref=sr_1_55?keywords=Books&qid=1649735617&sr=8-55,102,4.5 out of 5 stars,48
73,Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,unknown,https://amazon.in/Best-Childrens-Classics-Set-Books/dp/9389432006/ref=sr_1_56?keywords=Books&qid=1649735617&sr=8-56,unkown,unknown,unknown
74,Price Action Trading : Technical Analysis Simplified!,unknown,https://amazon.in/Price-Action-Trading-Technical-Simplified/dp/8195261612/ref=sr_1_57?keywords=Books&qid=1649735617&sr=8-57,unkown,unknown,unknown
75,"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty",unknown,https://amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623/ref=sr_1_58?keywords=Books&qid=1649735617&sr=8-58,unkown,unknown,unknown
76,Chanakya in You,Radhakrishnan Pillai,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A085253915WOUI5XXV5RS&url=%2FChanakya-You-Radhakrishnan-Pillai%2Fdp%2F8184956606%2Fref%3Dsr_1_59_sspa%3Fkeywords%3DBooks%26qid%3D1649735617%26sr%3D8-59-spons%26psc%3D1&qualifier=1649735617&id=5235908412582240&widgetName=sp_mtf,254,4.5 out of 5 stars,"1,663"
77,The One Minute Manager,unknown,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A09060833F4XMUII1TK6C&url=%2FOne-Minute-Manager-Kenneth-Blanchard%2Fdp%2F8172234996%2Fref%3Dsr_1_60_sspa%3Fkeywords%3DBooks%26qid%3D1649735617%26sr%3D8-60-spons%26psc%3D1&qualifier=1649735617&id=5235908412582240&widgetName=sp_mtf,unkown,unknown,unknown
78,Be Your Own Sunshine,James Allen,https://amazon.in/Your-Own-Sunshine-James-Allen/dp/9387022854/ref=sr_1_61?keywords=Books&qid=1649735617&sr=8-61,131,4.3 out of 5 stars,"1,178"
79,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,unknown,https://amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=sr_1_62?keywords=Books&qid=1649735617&sr=8-62,unkown,unknown,unknown
